




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (32)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
glomerular epithelium development (GO:0072010)	25	2	.04	+	51.47	7.99E-04	2.56E-02
negative regulation of Notch signaling pathway (GO:0045746)	38	3	.06	+	50.80	3.48E-05	1.92E-03
morphogenesis of an epithelial sheet (GO:0002011)	51	4	.08	+	50.46	1.54E-06	1.39E-04
nephron tubule development (GO:0072080)	78	6	.12	+	49.49	3.17E-09	7.53E-07
positive regulation of BMP signaling pathway (GO:0030513)	39	3	.06	+	49.49	3.74E-05	2.04E-03
regulation of cell fate commitment (GO:0010453)	39	3	.06	+	49.49	3.74E-05	2.03E-03
blastoderm segmentation (GO:0007350)	26	2	.04	+	49.49	8.60E-04	2.73E-02
regulation of glial cell proliferation (GO:0060251)	26	2	.04	+	49.49	8.60E-04	2.73E-02
positive regulation of meiotic cell cycle (GO:0051446)	26	2	.04	+	49.49	8.60E-04	2.72E-02
embryonic camera-type eye morphogenesis (GO:0048596)	26	2	.04	+	49.49	8.60E-04	2.72E-02
presynapse organization (GO:0099172)	26	2	.04	+	49.49	8.60E-04	2.71E-02
developmental induction (GO:0031128)	26	2	.04	+	49.49	8.60E-04	2.71E-02
regulation of cell fate specification (GO:0042659)	26	2	.04	+	49.49	8.60E-04	2.70E-02
secondary palate development (GO:0062009)	26	2	.04	+	49.49	8.60E-04	2.70E-02
atrioventricular valve development (GO:0003171)	27	2	.04	+	47.66	9.23E-04	2.87E-02
regulation of animal organ formation (GO:0003156)	27	2	.04	+	47.66	9.23E-04	2.86E-02
regulation of Notch signaling pathway (GO:0008593)	95	7	.15	+	47.41	1.79E-10	1.08E-07
renal tubule development (GO:0061326)	82	6	.13	+	47.08	4.21E-09	9.56E-07
heart valve morphogenesis (GO:0003179)	55	4	.09	+	46.79	2.05E-06	1.78E-04
embryonic heart tube morphogenesis (GO:0003143)	69	5	.11	+	46.62	9.69E-08	1.36E-05
myoblast differentiation (GO:0045445)	28	2	.04	+	45.96	9.88E-04	3.02E-02
regulation of astrocyte differentiation (GO:0048710)	28	2	.04	+	45.96	9.88E-04	3.01E-02
positive regulation of cardiac muscle tissue growth (GO:0055023)	28	2	.04	+	45.96	9.88E-04	3.01E-02
canonical Wnt signaling pathway (GO:0060070)	86	6	.13	+	44.89	5.52E-09	1.17E-06
cell fate determination (GO:0001709)	43	3	.07	+	44.89	4.92E-05	2.61E-03
ventricular septum development (GO:0003281)	72	5	.11	+	44.68	1.18E-07	1.60E-05
apoptotic process involved in development (GO:1902742)	30	2	.05	+	42.89	1.12E-03	3.37E-02
aorta morphogenesis (GO:0035909)	30	2	.05	+	42.89	1.12E-03	3.37E-02
glandular epithelial cell differentiation (GO:0002067)	45	3	.07	+	42.89	5.60E-05	2.91E-03
cardiac septum development (GO:0003279)	106	7	.16	+	42.49	3.70E-10	1.65E-07
endocardial cushion development (GO:0003197)	46	3	.07	+	41.96	5.96E-05	3.05E-03
positive regulation of epidermis development (GO:0045684)	31	2	.05	+	41.51	1.20E-03	3.57E-02
establishment of epithelial cell polarity (GO:0090162)	31	2	.05	+	41.51	1.20E-03	3.56E-02
regulation of mesenchymal cell proliferation (GO:0010464)	31	2	.05	+	41.51	1.20E-03	3.55E-02
cardiac chamber morphogenesis (GO:0003206)	124	8	.19	+	41.51	2.10E-11	2.20E-08
hair cell differentiation (GO:0035315)	47	3	.07	+	41.07	6.33E-05	3.18E-03
labyrinthine layer development (GO:0060711)	47	3	.07	+	41.07	6.33E-05	3.17E-03
heart looping (GO:0001947)	63	4	.10	+	40.85	3.42E-06	2.72E-04
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	63	4	.10	+	40.85	3.42E-06	2.70E-04
positive regulation of heart growth (GO:0060421)	32	2	.05	+	40.21	1.27E-03	3.74E-02
regulation of epidermis development (GO:0045682)	64	4	.10	+	40.21	3.63E-06	2.84E-04
positive regulation of animal organ morphogenesis (GO:0110110)	32	2	.05	+	40.21	1.27E-03	3.73E-02
somitogenesis (GO:0001756)	64	4	.10	+	40.21	3.63E-06	2.83E-04
skeletal muscle cell differentiation (GO:0035914)	48	3	.07	+	40.21	6.72E-05	3.27E-03
heart valve development (GO:0003170)	65	4	.10	+	39.59	3.85E-06	2.95E-04
embryonic heart tube development (GO:0035050)	83	5	.13	+	38.76	2.32E-07	2.82E-05
positive regulation of epithelial to mesenchymal transition (GO:0010718)	50	3	.08	+	38.60	7.54E-05	3.64E-03
artery morphogenesis (GO:0048844)	67	4	.10	+	38.41	4.31E-06	3.20E-04
non-canonical Wnt signaling pathway (GO:0035567)	67	4	.10	+	38.41	4.31E-06	3.19E-04
nephron epithelium development (GO:0072009)	101	6	.16	+	38.22	1.38E-08	2.54E-06
B cell activation involved in immune response (GO:0002312)	51	3	.08	+	37.85	7.98E-05	3.81E-03
determination of heart left/right asymmetry (GO:0061371)	68	4	.11	+	37.85	4.56E-06	3.34E-04
mesenchyme morphogenesis (GO:0072132)	52	3	.08	+	37.12	8.43E-05	3.99E-03
muscle tissue morphogenesis (GO:0060415)	70	4	.11	+	36.77	5.09E-06	3.69E-04
inflammatory response to antigenic stimulus (GO:0002437)	35	2	.05	+	36.77	1.50E-03	4.35E-02
embryonic eye morphogenesis (GO:0048048)	35	2	.05	+	36.77	1.50E-03	4.34E-02
midbrain development (GO:0030901)	88	5	.14	+	36.56	3.06E-07	3.58E-05
regulation of endothelial cell differentiation (GO:0045601)	36	2	.06	+	35.74	1.58E-03	4.55E-02
columnar/cuboidal epithelial cell development (GO:0002066)	36	2	.06	+	35.74	1.58E-03	4.54E-02
inner ear auditory receptor cell differentiation (GO:0042491)	36	2	.06	+	35.74	1.58E-03	4.53E-02
endocardial cushion morphogenesis (GO:0003203)	36	2	.06	+	35.74	1.58E-03	4.52E-02
pancreas development (GO:0031016)	73	4	.11	+	35.26	5.97E-06	4.23E-04
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	55	3	.09	+	35.09	9.88E-05	4.61E-03
smooth muscle cell differentiation (GO:0051145)	37	2	.06	+	34.78	1.67E-03	4.73E-02
embryonic camera-type eye development (GO:0031076)	37	2	.06	+	34.78	1.67E-03	4.72E-02
cardiac conduction system development (GO:0003161)	37	2	.06	+	34.78	1.67E-03	4.71E-02
nephron development (GO:0072006)	130	7	.20	+	34.64	1.43E-09	4.24E-07
negative regulation of BMP signaling pathway (GO:0030514)	56	3	.09	+	34.47	1.04E-04	4.84E-03
regulation of epidermal cell differentiation (GO:0045604)	57	3	.09	+	33.86	1.09E-04	4.94E-03
regulation of cardiac muscle cell proliferation (GO:0060043)	38	2	.06	+	33.86	1.75E-03	4.92E-02
negative regulation of gliogenesis (GO:0014014)	38	2	.06	+	33.86	1.75E-03	4.91E-02
brain morphogenesis (GO:0048854)	38	2	.06	+	33.86	1.75E-03	4.90E-02
axis specification (GO:0009798)	95	5	.15	+	33.86	4.40E-07	4.86E-05
epithelial to mesenchymal transition (GO:0001837)	77	4	.12	+	33.42	7.31E-06	5.09E-04
muscle organ morphogenesis (GO:0048644)	77	4	.12	+	33.42	7.31E-06	5.07E-04
negative regulation of muscle cell differentiation (GO:0051148)	58	3	.09	+	33.28	1.15E-04	5.15E-03
cardiac muscle tissue morphogenesis (GO:0055008)	59	3	.09	+	32.72	1.21E-04	5.39E-03
negative regulation of cell-substrate adhesion (GO:0010812)	60	3	.09	+	32.17	1.27E-04	5.63E-03
mammary gland epithelium development (GO:0061180)	60	3	.09	+	32.17	1.27E-04	5.62E-03
somite development (GO:0061053)	81	4	.13	+	31.77	8.85E-06	5.95E-04
segmentation (GO:0035282)	102	5	.16	+	31.54	6.17E-07	6.32E-05
regulation of BMP signaling pathway (GO:0030510)	103	5	.16	+	31.23	6.46E-07	6.49E-05
protein K48-linked ubiquitination (GO:0070936)	62	3	.10	+	31.13	1.39E-04	6.03E-03
neuron fate commitment (GO:0048663)	62	3	.10	+	31.13	1.39E-04	6.01E-03
regulation of striated muscle cell differentiation (GO:0051153)	83	4	.13	+	31.01	9.71E-06	6.45E-04
camera-type eye morphogenesis (GO:0048593)	125	6	.19	+	30.88	4.64E-08	7.34E-06
cardiac chamber development (GO:0003205)	168	8	.26	+	30.64	2.12E-10	1.19E-07
inner ear receptor cell differentiation (GO:0060113)	63	3	.10	+	30.64	1.45E-04	6.28E-03
cardiac ventricle development (GO:0003231)	126	6	.20	+	30.64	4.85E-08	7.60E-06
positive regulation of Ras protein signal transduction (GO:0046579)	64	3	.10	+	30.16	1.52E-04	6.53E-03
kidney epithelium development (GO:0072073)	131	6	.20	+	29.47	6.06E-08	8.95E-06
stem cell population maintenance (GO:0019827)	111	5	.17	+	28.98	9.21E-07	8.75E-05
maintenance of cell number (GO:0098727)	113	5	.18	+	28.47	1.00E-06	9.35E-05
mechanoreceptor differentiation (GO:0042490)	68	3	.11	+	28.39	1.81E-04	7.31E-03
cellular response to retinoic acid (GO:0071300)	69	3	.11	+	27.97	1.88E-04	7.54E-03
epithelial cell proliferation (GO:0050673)	94	4	.15	+	27.38	1.56E-05	9.72E-04
cardiac ventricle morphogenesis (GO:0003208)	71	3	.11	+	27.19	2.04E-04	8.16E-03
artery development (GO:0060840)	96	4	.15	+	26.81	1.69E-05	1.04E-03
positive regulation of epithelial cell proliferation (GO:0050679)	194	8	.30	+	26.53	6.34E-10	2.26E-07
regulation of establishment of planar polarity (GO:0090175)	73	3	.11	+	26.44	2.21E-04	8.51E-03
positive regulation of small GTPase mediated signal transduction (GO:0051057)	73	3	.11	+	26.44	2.21E-04	8.49E-03
regulation of myoblast differentiation (GO:0045661)	77	3	.12	+	25.07	2.57E-04	9.73E-03
embryonic pattern specification (GO:0009880)	77	3	.12	+	25.07	2.57E-04	9.71E-03
eye morphogenesis (GO:0048592)	155	6	.24	+	24.91	1.58E-07	2.08E-05
protein monoubiquitination (GO:0006513)	78	3	.12	+	24.75	2.67E-04	1.00E-02
endothelial cell differentiation (GO:0045446)	80	3	.12	+	24.13	2.87E-04	1.07E-02
columnar/cuboidal epithelial cell differentiation (GO:0002065)	80	3	.12	+	24.13	2.87E-04	1.07E-02
anterior/posterior pattern specification (GO:0009952)	217	8	.34	+	23.72	1.49E-09	4.32E-07
regulation of neuron differentiation (GO:0045664)	190	7	.30	+	23.70	1.79E-08	3.16E-06
cell fate commitment (GO:0045165)	245	9	.38	+	23.64	1.24E-10	8.84E-08
heart morphogenesis (GO:0003007)	246	9	.38	+	23.54	1.29E-10	8.39E-08
mesenchymal cell differentiation (GO:0048762)	167	6	.26	+	23.12	2.42E-07	2.89E-05
embryonic placenta development (GO:0001892)	86	3	.13	+	22.44	3.52E-04	1.29E-02
regulation of embryonic development (GO:0045995)	86	3	.13	+	22.44	3.52E-04	1.28E-02
regulation of epithelial cell differentiation (GO:0030856)	144	5	.22	+	22.34	3.17E-06	2.57E-04
positive regulation of protein binding (GO:0032092)	87	3	.14	+	22.19	3.64E-04	1.32E-02
regulation of stem cell differentiation (GO:2000736)	88	3	.14	+	21.93	3.76E-04	1.36E-02
placenta development (GO:0001890)	148	5	.23	+	21.74	3.61E-06	2.84E-04
liver development (GO:0001889)	123	4	.19	+	20.92	4.32E-05	2.32E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	155	5	.24	+	20.76	4.49E-06	3.30E-04
positive regulation of endothelial cell proliferation (GO:0001938)	93	3	.14	+	20.76	4.40E-04	1.58E-02
neural tube closure (GO:0001843)	93	3	.14	+	20.76	4.40E-04	1.57E-02
skeletal muscle tissue development (GO:0007519)	125	4	.19	+	20.59	4.59E-05	2.46E-03
regulation of epithelial to mesenchymal transition (GO:0010717)	94	3	.15	+	20.53	4.53E-04	1.62E-02
tube closure (GO:0060606)	94	3	.15	+	20.53	4.53E-04	1.61E-02
hepaticobiliary system development (GO:0061008)	126	4	.20	+	20.43	4.73E-05	2.53E-03
determination of left/right symmetry (GO:0007368)	128	4	.20	+	20.11	5.02E-05	2.65E-03
neural tube development (GO:0021915)	160	5	.25	+	20.11	5.22E-06	3.75E-04
endothelium development (GO:0003158)	96	3	.15	+	20.11	4.81E-04	1.69E-02
kidney development (GO:0001822)	292	9	.45	+	19.83	5.58E-10	2.08E-07
positive regulation of myeloid cell differentiation (GO:0045639)	98	3	.15	+	19.70	5.10E-04	1.78E-02
primary neural tube formation (GO:0014020)	99	3	.15	+	19.50	5.25E-04	1.82E-02
regulation of fat cell differentiation (GO:0045598)	133	4	.21	+	19.35	5.80E-05	2.99E-03
renal system development (GO:0072001)	301	9	.47	+	19.24	7.23E-10	2.52E-07
determination of bilateral symmetry (GO:0009855)	134	4	.21	+	19.21	5.97E-05	3.05E-03
positive regulation of endocytosis (GO:0045807)	101	3	.16	+	19.11	5.56E-04	1.92E-02
regulation of epithelial cell proliferation (GO:0050678)	337	10	.52	+	19.09	7.43E-11	6.13E-08
specification of symmetry (GO:0009799)	135	4	.21	+	19.06	6.14E-05	3.10E-03
regulation of muscle cell differentiation (GO:0051147)	135	4	.21	+	19.06	6.14E-05	3.09E-03
negative regulation of cellular response to growth factor stimulus (GO:0090288)	102	3	.16	+	18.92	5.71E-04	1.96E-02
skeletal muscle organ development (GO:0060538)	137	4	.21	+	18.79	6.49E-05	3.23E-03
synapse assembly (GO:0007416)	103	3	.16	+	18.74	5.88E-04	1.98E-02
gland morphogenesis (GO:0022612)	105	3	.16	+	18.38	6.20E-04	2.08E-02
cell-cell signaling by wnt (GO:0198738)	282	8	.44	+	18.25	1.09E-08	2.14E-06
Wnt signaling pathway (GO:0016055)	282	8	.44	+	18.25	1.09E-08	2.11E-06
neural tube formation (GO:0001841)	107	3	.17	+	18.04	6.54E-04	2.17E-02
cardiocyte differentiation (GO:0035051)	107	3	.17	+	18.04	6.54E-04	2.17E-02
